participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,bms_experiment.1.player.id_in_group,bms_experiment.1.player.trans_cond,bms_experiment.1.player.age,bms_experiment.1.player.gender,bms_experiment.1.player.installed,bms_experiment.1.player.competence,bms_experiment.1.player.competence_neg,bms_experiment.1.player.benevolence,bms_experiment.1.player.benevolence_neg,bms_experiment.1.player.no_central_entity,bms_experiment.1.player.no_central_entity_neg,bms_experiment.1.player.anonymity,bms_experiment.1.player.anonymity_neg,bms_experiment.1.player.no_tracking,bms_experiment.1.player.no_tracking_neg,bms_experiment.1.player.unlinkabilty,bms_experiment.1.player.unlinkabilty_neg,bms_experiment.1.player.understanding,bms_experiment.1.player.q1_a1,bms_experiment.1.player.q1_a2,bms_experiment.1.player.q1_a3,bms_experiment.1.player.q1_a4,bms_experiment.1.player.q1_a5,bms_experiment.1.player.q2_a1,bms_experiment.1.player.q2_a2,bms_experiment.1.player.q2_a3,bms_experiment.1.player.q2_a4,bms_experiment.1.player.q2_a5,bms_experiment.1.player.q3_a1,bms_experiment.1.player.q3_a2,bms_experiment.1.player.q3_a3,bms_experiment.1.player.q3_a4,bms_experiment.1.player.q3_a5,bms_experiment.1.player.q4_a1,bms_experiment.1.player.q4_a2,bms_experiment.1.player.q4_a3,bms_experiment.1.player.q4_a4,bms_experiment.1.player.q4_a5,bms_experiment.1.player.attentive_1,bms_experiment.1.player.attentive_2,bms_experiment.1.player.finished,bms_experiment.1.player.payoff,bms_experiment.1.group.id_in_subsession,bms_experiment.1.subsession.round_number,bms_experiment.2.player.id_in_group,bms_experiment.2.player.trans_cond,bms_experiment.2.player.age,bms_experiment.2.player.gender,bms_experiment.2.player.installed,bms_experiment.2.player.competence,bms_experiment.2.player.competence_neg,bms_experiment.2.player.benevolence,bms_experiment.2.player.benevolence_neg,bms_experiment.2.player.no_central_entity,bms_experiment.2.player.no_central_entity_neg,bms_experiment.2.player.anonymity,bms_experiment.2.player.anonymity_neg,bms_experiment.2.player.no_tracking,bms_experiment.2.player.no_tracking_neg,bms_experiment.2.player.unlinkabilty,bms_experiment.2.player.unlinkabilty_neg,bms_experiment.2.player.understanding,bms_experiment.2.player.q1_a1,bms_experiment.2.player.q1_a2,bms_experiment.2.player.q1_a3,bms_experiment.2.player.q1_a4,bms_experiment.2.player.q1_a5,bms_experiment.2.player.q2_a1,bms_experiment.2.player.q2_a2,bms_experiment.2.player.q2_a3,bms_experiment.2.player.q2_a4,bms_experiment.2.player.q2_a5,bms_experiment.2.player.q3_a1,bms_experiment.2.player.q3_a2,bms_experiment.2.player.q3_a3,bms_experiment.2.player.q3_a4,bms_experiment.2.player.q3_a5,bms_experiment.2.player.q4_a1,bms_experiment.2.player.q4_a2,bms_experiment.2.player.q4_a3,bms_experiment.2.player.q4_a4,bms_experiment.2.player.q4_a5,bms_experiment.2.player.attentive_1,bms_experiment.2.player.attentive_2,bms_experiment.2.player.finished,bms_experiment.2.player.payoff,bms_experiment.2.group.id_in_subsession,bms_experiment.2.subsession.round_number
1,bsv1ki5f,,0,1,22,bms_experiment,Introduction,2020-08-21 12:33:28.868272+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
2,y34kcga7,,0,11,22,bms_experiment,Ending,2020-08-21 12:33:48.925007+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,2,no,20,1,1,5,1,1,5,5,1,5,1,1,1,5,1,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
3,bi3ce79o,,0,11,22,bms_experiment,Ending,2020-08-21 12:35:44.990053+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,3,no,19,0,0,3,3,2,4,3,3,3,1,2,4,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,,1,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
4,kgh5hfgo,,0,1,22,bms_experiment,Introduction,2020-08-21 12:36:44.392076+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
5,r5g1a1lb,,0,22,22,bms_experiment,Ending,2020-08-21 12:37:14.830325+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,5,brief,20,1,0,,,,,,,,,,,,,3,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,yellow,,,0,1,1,5,,,,,5,1,1,5,5,1,4,1,1,5,5,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
6,nw7422d2,,0,22,22,bms_experiment,Ending,2020-08-21 12:41:50.445093+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,6,brief,20,1,1,,,,,,,,,,,,,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,yellow,,,0,1,1,6,,,,,5,1,1,5,5,1,5,1,5,5,1,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
7,sy7himvy,,0,22,22,bms_experiment,Ending,2020-08-21 12:42:36.977713+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,7,brief,20,1,1,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,yellow,,,0,1,1,7,,,,,5,2,1,5,5,1,5,1,1,5,5,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,,,1,0,1,2
8,s7tnjon8,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-21 12:46:11.458996+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,8,detailed,20,1,0,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
9,8fj6nhmc,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-21 12:47:15.448666+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,9,brief,20,0,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
10,rca8luds,,0,1,22,bms_experiment,Introduction,2020-08-21 12:48:41.340114+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
11,nd8tia59,,0,1,22,bms_experiment,Introduction,2020-08-21 12:48:56.348694+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
12,wm0mi6na,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-21 12:49:11.320887+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,12,detailed,20,1,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
13,bq9bdj6i,,0,22,22,bms_experiment,Ending,2020-08-21 12:51:30.791858+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,13,brief,20,1,1,,,,,,,,,,,,,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,black,yellow,,0,1,1,13,,,,,5,2,1,5,5,1,5,1,1,5,5,1,5,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
14,na6wjk6m,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-21 12:53:22.222893+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,14,detailed,20,1,1,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
15,f1ej66jl,,0,1,22,bms_experiment,Introduction,2020-08-21 12:54:29.336114+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
16,qg28l4r1,,0,22,22,bms_experiment,Ending,2020-08-21 12:54:48.194024+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,16,detailed,20,1,1,,,,,,,,,,,,,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,yellow,,,0,1,1,16,,,,,5,1,1,5,5,1,5,1,1,5,5,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,,,1,0,1,2
17,8enyj4j3,,0,1,22,bms_experiment,Introduction,2020-08-21 12:54:59.938327+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
18,hn1ucokl,,0,22,22,bms_experiment,Ending,2020-08-21 12:55:29.551925+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,18,detailed,20,0,1,,,,,,,,,,,,,3,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,yellow,,,0,1,1,18,,,,,4,2,1,4,4,1,4,1,2,5,4,2,4,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,,,1,0,1,2
19,ornra6rn,,0,4,22,bms_experiment,ActualUnderstandingSurvey,2020-08-21 12:58:09.456039+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,19,detailed,21,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
20,s0btwnyy,,0,22,22,bms_experiment,Ending,2020-08-21 12:59:44.097283+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,20,detailed,20,1,1,,,,,,,,,,,,,4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,green,yellow,,0,1,1,20,,,,,5,1,1,4,1,1,5,1,1,4,5,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,2
21,sbrrhxnz,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-21 13:06:30.769809+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
22,ap9pxu84,,0,11,22,bms_experiment,Ending,2020-08-21 13:13:18.272039+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,22,no,22,1,1,5,1,1,5,5,1,5,1,1,5,5,1,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,1,0,1,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
23,v8anmlvn,,0,22,22,bms_experiment,Ending,2020-08-21 13:13:25.343526+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,23,detailed,20,1,0,,,,,,,,,,,,,4,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,black,yellow,,0,1,1,23,,,,,5,1,1,5,5,1,5,1,1,4,2,2,4,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,,,1,0,1,2
24,kjkf759x,,0,1,22,bms_experiment,Introduction,2020-08-21 13:23:32.771265+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
25,j3wxamc2,,0,1,22,bms_experiment,Introduction,2020-08-21 13:35:27.128787+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
26,0dyw3uho,,0,11,22,bms_experiment,Ending,2020-08-21 14:37:58.667330+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,26,no,19,0,1,5,1,1,5,5,1,5,1,1,5,5,1,5,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
27,3cjplq6s,,0,11,22,bms_experiment,Ending,2020-08-21 21:56:18.986015+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,27,no,20,0,0,3,4,2,3,3,5,4,2,4,2,3,5,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,1,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
28,9r5fzxk4,,0,1,22,bms_experiment,Introduction,2020-08-22 09:07:31.301215+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
29,znhe0xqj,,0,1,22,bms_experiment,Introduction,2020-08-22 09:07:55.266936+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
30,4s3ong7h,,0,1,22,bms_experiment,Introduction,2020-08-22 09:08:02.840590+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
31,pw2cjhpa,,0,1,22,bms_experiment,Introduction,2020-08-22 09:08:15.175510+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
32,1odv59rj,,0,1,22,bms_experiment,Introduction,2020-08-22 09:10:54.900278+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
33,pqml6017,,0,15,22,bms_experiment,ActualUnderstandingSurvey,2020-08-22 09:11:15.054424+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,33,brief,20,1,0,,,,,,,,,,,,,3,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,black,yellow,,0,1,1,33,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
34,w7dg4ko9,,0,2,22,bms_experiment,GeneralInformationSurvey,2020-08-22 09:12:40.167134+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
35,7i2vpbie,,0,11,22,bms_experiment,Ending,2020-08-22 09:12:49.034676+00:00,1,,,0,0.00,612nydpi,,,,,0,1.0,0.00,35,no,23,0,1,3,3,2,4,4,1,3,2,2,3,2,3,4,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,,1,0,1,1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2
